leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
66,463.0,141.0267,37.6530,1.852,3.25,0.000,5.71,5.714,5.714,1607.1,1
67,467.5,141.0221,37.6783,1.841,3.48,0.000,5.71,5.714,5.714,1604.8,1
68,468.4,141.0205,37.7027,1.834,3.76,0.000,5.71,5.714,5.714,1603.3,1
69,547.7,141.2905,37.9940,2.027,5.39,0.000,5.71,5.714,5.714,1735.7,1
70,550.0,141.5528,38.2901,2.213,5.95,0.000,5.71,5.714,5.714,1897.5,1
71,551.4,141.5517,38.3041,2.219,5.98,0.000,5.71,5.714,5.714,1904.4,1
72,552.0,141.5594,38.3111,2.221,5.99,0.000,5.71,5.714,5.714,1906.4,1
73,552.6,141.5645,38.3117,2.223,5.99,0.000,5.71,5.714,5.714,1908.8,1
74,553.3,141.5707,38.3089,2.227,5.98,0.000,5.71,5.714,5.714,1912.7,1
75,581.1,141.5803,38.4327,2.333,7.12,0.000,5.71,5.714,5.714,1997.5,1
76,597.4,141.5703,38.6303,2.258,8.98,0.000,5.71,5.714,5.714,1902.1,1
77,598.0,141.5571,38.7011,2.227,9.47,0.000,5.71,5.714,5.714,1866.9,1
78,598.7,141.5631,38.7015,2.232,9.49,0.000,5.71,5.714,5.714,1870.5,1
79,600.5,141.5695,38.7111,2.234,9.49,0.000,5.71,5.714,5.714,1871.2,1
80,601.7,141.5698,38.7237,2.232,9.48,0.000,5.71,5.714,5.714,1868.0,1
81,643.1,141.7114,38.8774,2.231,10.13,0.000,5.71,5.714,5.714,1859.6,1
82,644.3,141.8519,39.0306,2.282,10.60,0.000,5.71,5.714,5.714,1941.1,1
83,653.3,141.8807,39.0664,2.306,10.64,0.000,5.71,5.714,5.714,1968.7,1
84,654.7,141.9111,39.1037,2.295,10.73,0.000,5.71,5.714,5.714,1972.6,1
85,660.3,141.9020,39.1346,2.288,10.55,0.000,5.71,5.714,5.714,1974.0,1
86,662.4,141.9055,39.1647,2.306,10.39,0.000,5.71,5.714,5.714,1987.9,1
87,664.5,141.9210,39.1785,2.329,10.42,0.000,5.71,5.714,5.714,2005.0,1
88,669.5,141.9378,39.2075,2.357,10.36,0.000,5.71,5.714,5.714,2025.4,1
89,679.0,141.9565,39.2703,2.358,10.17,0.000,5.71,5.714,5.714,2020.8,1
90,681.3,141.9737,39.3199,2.369,10.01,0.000,5.71,5.714,5.714,2020.8,1
91,684.0,141.9823,39.3391,2.345,9.71,0.000,5.71,5.714,5.714,1995.5,1
92,691.6,141.9958,39.3833,2.291,8.96,0.000,5.71,5.714,5.714,1943.6,1
93,693.4,142.0211,39.4165,2.217,8.18,0.000,5.71,5.714,5.714,1881.2,1
94,694.4,142.0348,39.4207,2.217,7.96,0.000,5.71,5.714,5.714,1881.2,1
95,696.2,142.0382,39.4321,2.203,7.71,0.000,5.71,5.714,5.714,1870.5,1
96,699.5,142.0484,39.4533,2.181,7.23,0.000,5.71,5.714,5.714,1854.5,1
