lon,lat,hs
-77.500,10.000,1.452
-77.000,10.000,1.510
-76.500,10.000,1.575
-76.000,10.000,nan
-75.500,10.000,nan
-75.000,10.000,nan
-74.500,10.000,nan
-74.000,10.000,nan
-73.500,10.000,nan
-73.000,10.000,nan
-72.500,10.000,nan
-72.000,10.000,nan
-71.500,10.000,0.226
-71.000,10.000,nan
-70.500,10.000,nan
-70.000,10.000,nan
-83.000,10.500,0.888
-82.500,10.500,0.963
-82.000,10.500,1.044
-81.500,10.500,1.110
-81.000,10.500,1.136
-80.500,10.500,1.170
-80.000,10.500,1.253
-79.500,10.500,1.327
-79.000,10.500,1.361
-78.500,10.500,1.394
-78.000,10.500,1.418
-77.500,10.500,1.449
-77.000,10.500,1.510
-76.500,10.500,1.623
-76.000,10.500,nan
-75.500,10.500,nan
-75.000,10.500,nan
-74.500,10.500,nan
-74.000,10.500,nan
-73.500,10.500,nan
-73.000,10.500,nan
-72.500,10.500,nan
-72.000,10.500,nan
-71.500,10.500,nan
-71.000,10.500,nan
-70.500,10.500,nan
-70.000,10.500,nan
-83.000,11.000,1.037
-82.500,11.000,1.051
-82.000,11.000,1.080
-81.500,11.000,1.127
-81.000,11.000,1.183
-80.500,11.000,1.212
-80.000,11.000,1.253
-79.500,11.000,1.325
-79.000,11.000,1.371
-78.500,11.000,1.403
-78.000,11.000,1.418
-77.500,11.000,1.440
-77.000,11.000,1.493
-76.500,11.000,1.602
-76.000,11.000,nan
-75.500,11.000,nan
-75.000,11.000,nan
-74.500,11.000,nan
-74.000,11.000,nan
-73.500,11.000,nan
-73.000,11.000,nan
-72.500,11.000,nan
-72.000,11.000,nan
-71.500,11.000,nan
-71.000,11.000,nan
-70.500,11.000,nan
-70.000,11.000,nan
-83.000,11.500,1.213
-82.500,11.500,1.143
-82.000,11.500,1.129
-81.500,11.500,1.156
-81.000,11.500,1.214
-80.500,11.500,1.245
-80.000,11.500,1.261
-79.500,11.500,1.308
-79.000,11.500,1.366
-78.500,11.500,1.405
-78.000,11.500,1.413
-77.500,11.500,1.432
-77.000,11.500,1.458
-76.500,11.500,1.522
-76.000,11.500,1.648
-75.500,11.500,1.823
-75.000,11.500,nan
-74.500,11.500,nan
-74.000,11.500,nan
-73.500,11.500,nan
-73.000,11.500,nan
-72.500,11.500,nan
-72.000,11.500,1.086
-71.500,11.500,1.534
-71.000,11.500,nan
-70.500,11.500,nan
-70.000,11.500,nan
-83.000,12.000,1.342
-82.500,12.000,1.244
-82.000,12.000,1.186
-81.500,12.000,1.188
-81.000,12.000,1.229
-80.500,12.000,1.266
-80.000,12.000,1.260
-79.500,12.000,1.279
-79.000,12.000,1.324
-78.500,12.000,1.362
-78.000,12.000,1.377
-77.500,12.000,1.395
-77.000,12.000,1.392
-76.500,12.000,1.415
-76.000,12.000,1.520
-75.500,12.000,1.648
-75.000,12.000,1.734
-74.500,12.000,1.661
-74.000,12.000,1.455
-73.500,12.000,1.226
-73.000,12.000,nan
-72.500,12.000,nan
-72.000,12.000,nan
-71.500,12.000,nan
-71.000,12.000,1.149
-70.500,12.000,nan
-70.000,12.000,nan
-83.000,12.500,1.440
-82.500,12.500,1.330
-82.000,12.500,1.206
-81.500,12.500,1.204
-81.000,12.500,1.224
-80.500,12.500,1.254
-80.000,12.500,1.245
-79.500,12.500,1.240
-79.000,12.500,1.267
-78.500,12.500,1.302
-78.000,12.500,1.320
-77.500,12.500,1.325
-77.000,12.500,1.332
-76.500,12.500,1.354
-76.000,12.500,1.424
-75.500,12.500,1.491
-75.000,12.500,1.526
-74.500,12.500,1.500
-74.000,12.500,1.446
-73.500,12.500,1.377
-73.000,12.500,1.271
-72.500,12.500,nan
-72.000,12.500,nan
-71.500,12.500,nan
-71.000,12.500,1.338
-70.500,12.500,nan
-70.000,12.500,nan
-83.000,13.000,1.396
-82.500,13.000,1.359
-82.000,13.000,1.274
-81.500,13.000,1.216
-81.000,13.000,1.209
-80.500,13.000,1.225
-80.000,13.000,1.220
-79.500,13.000,1.202
-79.000,13.000,1.213
-78.500,13.000,1.241
-78.000,13.000,1.260
-77.500,13.000,1.267
-77.000,13.000,1.278
-76.500,13.000,1.308
-76.000,13.000,1.330
-75.500,13.000,1.356
-75.000,13.000,1.378
-74.500,13.000,1.357
-74.000,13.000,1.332
-73.500,13.000,1.322
-73.000,13.000,1.328
-72.500,13.000,1.362
-72.000,13.000,1.422
-71.500,13.000,1.474
-71.000,13.000,1.506
-70.500,13.000,1.503
-70.000,13.000,1.491
-83.000,13.500,1.364
-82.500,13.500,1.328
-82.000,13.500,1.313
-81.500,13.500,1.256
-81.000,13.500,1.224
-80.500,13.500,1.219
-80.000,13.500,1.205
-79.500,13.500,1.188
-79.000,13.500,1.179
-78.500,13.500,1.195
-78.000,13.500,1.211
-77.500,13.500,1.227
-77.000,13.500,1.234
-76.500,13.500,1.256
-76.000,13.500,1.269
-75.500,13.500,1.269
-75.000,13.500,1.274
-74.500,13.500,1.279
-74.000,13.500,1.294
-73.500,13.500,1.319
-73.000,13.500,1.336
-72.500,13.500,1.360
-72.000,13.500,1.392
-71.500,13.500,1.427
-71.000,13.500,1.452
-70.500,13.500,1.456
-70.000,13.500,1.466
-83.000,14.000,1.144
-82.500,14.000,1.184
-82.000,14.000,1.324
-81.500,14.000,1.360
-81.000,14.000,1.292
-80.500,14.000,1.273
-80.000,14.000,1.223
-79.500,14.000,1.214
-79.000,14.000,1.180
-78.500,14.000,1.159
-78.000,14.000,1.151
-77.500,14.000,1.158
-77.000,14.000,1.172
-76.500,14.000,1.197
-76.000,14.000,1.209
-75.500,14.000,1.188
-75.000,14.000,1.178
-74.500,14.000,1.192
-74.000,14.000,1.232
-73.500,14.000,1.252
-73.000,14.000,1.262
-72.500,14.000,1.278
-72.000,14.000,1.306
-71.500,14.000,1.340
-71.000,14.000,1.376
-70.500,14.000,1.398
-70.000,14.000,1.420
-83.000,14.500,0.956
-82.500,14.500,1.045
-82.000,14.500,1.288
-81.500,14.500,1.476
-81.000,14.500,1.457
-80.500,14.500,1.401
-80.000,14.500,1.317
-79.500,14.500,1.278
-79.000,14.500,1.203
-78.500,14.500,1.139
-78.000,14.500,1.102
-77.500,14.500,1.085
-77.000,14.500,1.096
-76.500,14.500,1.126
-76.000,14.500,1.142
-75.500,14.500,1.129
-75.000,14.500,1.119
-74.500,14.500,1.128
-74.000,14.500,1.167
-73.500,14.500,1.183
-73.000,14.500,1.196
-72.500,14.500,1.214
-72.000,14.500,1.236
-71.500,14.500,1.264
-71.000,14.500,1.305
-70.500,14.500,1.342
-70.000,14.500,1.371
-83.000,15.000,1.287
-82.500,15.000,1.231
-82.000,15.000,1.359
-81.500,15.000,1.603
-81.000,15.000,1.643
-80.500,15.000,1.599
-80.000,15.000,1.473
-79.500,15.000,1.343
-79.000,15.000,1.239
-78.500,15.000,1.141
-78.000,15.000,1.064
-77.500,15.000,1.026
-77.000,15.000,1.019
-76.500,15.000,1.036
-76.000,15.000,1.056
-75.500,15.000,1.066
-75.000,15.000,1.072
-74.500,15.000,1.075
-74.000,15.000,1.094
-73.500,15.000,1.107
-73.000,15.000,1.125
-72.500,15.000,1.147
-72.000,15.000,1.170
-71.500,15.000,1.193
-71.000,15.000,1.226
-70.500,15.000,1.268
-70.000,15.000,1.311
-83.000,15.500,1.339
-82.500,15.500,1.353
-82.000,15.500,1.480
-81.500,15.500,1.740
-81.000,15.500,1.780
-80.500,15.500,1.743
-80.000,15.500,1.587
-79.500,15.500,1.424
-79.000,15.500,1.297
-78.500,15.500,1.170
-78.000,15.500,1.061
-77.500,15.500,0.988
-77.000,15.500,0.953
-76.500,15.500,0.950
-76.000,15.500,0.965
-75.500,15.500,0.983
-75.000,15.500,0.999
-74.500,15.500,1.006
-74.000,15.500,1.019
-73.500,15.500,1.037
-73.000,15.500,1.054
-72.500,15.500,1.072
-72.000,15.500,1.094
-71.500,15.500,1.118
-71.000,15.500,1.148
-70.500,15.500,1.187
-70.000,15.500,1.238
-83.000,16.000,1.407
-82.500,16.000,1.568
-82.000,16.000,1.795
-81.500,16.000,1.864
-81.000,16.000,1.878
-80.500,16.000,1.815
-80.000,16.000,1.742
-79.500,16.000,1.570
-79.000,16.000,1.437
-78.500,16.000,1.255
-78.000,16.000,1.108
-77.500,16.000,0.993
-77.000,16.000,0.919
-76.500,16.000,0.890
-76.000,16.000,0.889
-75.500,16.000,0.905
-75.000,16.000,0.921
-74.500,16.000,0.927
-74.000,16.000,0.938
-73.500,16.000,0.956
-73.000,16.000,0.978
-72.500,16.000,1.000
-72.000,16.000,1.020
-71.500,16.000,1.044
-71.000,16.000,1.074
-70.500,16.000,1.111
-70.000,16.000,1.162
-83.000,16.500,1.646
-82.500,16.500,1.739
-82.000,16.500,1.800
-81.500,16.500,1.845
-81.000,16.500,1.873
-80.500,16.500,1.846
-80.000,16.500,1.795
-79.500,16.500,1.696
-79.000,16.500,1.547
-78.500,16.500,1.357
-78.000,16.500,1.161
-77.500,16.500,1.016
-77.000,16.500,0.915
-76.500,16.500,0.860
-76.000,16.500,0.838
-75.500,16.500,0.836
-75.000,16.500,0.848
-74.500,16.500,0.857
-74.000,16.500,0.864
-73.500,16.500,0.881
-73.000,16.500,0.906
-72.500,16.500,0.925
-72.000,16.500,0.943
-71.500,16.500,0.965
-71.000,16.500,0.994
-70.500,16.500,1.032
-70.000,16.500,1.083
-83.000,17.000,1.622
-82.500,17.000,1.684
-82.000,17.000,1.741
-81.500,17.000,1.784
-81.000,17.000,1.800
-80.500,17.000,1.795
-80.000,17.000,1.786
-79.500,17.000,1.721
-79.000,17.000,1.593
-78.500,17.000,1.394
-78.000,17.000,1.198
-77.500,17.000,1.023
-77.000,17.000,0.901
-76.500,17.000,0.837
-76.000,17.000,0.797
-75.500,17.000,0.783
-75.000,17.000,0.789
-74.500,17.000,0.794
-74.000,17.000,0.797
-73.500,17.000,0.817
-73.000,17.000,0.842
-72.500,17.000,0.852
-72.000,17.000,0.860
-71.500,17.000,0.877
-71.000,17.000,0.906
-70.500,17.000,0.949
-70.000,17.000,1.002
-83.000,17.500,1.565
-82.500,17.500,1.617
-82.000,17.500,1.665
-81.500,17.500,1.707
-81.000,17.500,1.719
-80.500,17.500,1.706
-80.000,17.500,1.690
-79.500,17.500,1.663
-79.000,17.500,1.600
-78.500,17.500,1.440
-78.000,17.500,1.186
-77.500,17.500,0.949
-77.000,17.500,0.801
-76.500,17.500,0.751
-76.000,17.500,0.745
-75.500,17.500,0.736
-75.000,17.500,0.742
-74.500,17.500,0.741
-74.000,17.500,0.732
-73.500,17.500,0.732
-73.000,17.500,0.723
-72.500,17.500,0.706
-72.000,17.500,0.686
-71.500,17.500,0.739
-71.000,17.500,0.824
-70.500,17.500,0.866
-70.000,17.500,0.914
-83.000,18.000,1.519
-82.500,18.000,1.561
-82.000,18.000,1.597
-81.500,18.000,1.630
-81.000,18.000,1.631
-80.500,18.000,1.601
-80.000,18.000,1.564
-79.500,18.000,1.534
-79.000,18.000,1.494
-78.500,18.000,1.343
-78.000,18.000,nan
-77.500,18.000,nan
-77.000,18.000,nan
-76.500,18.000,nan
-76.000,18.000,0.672
-75.500,18.000,0.687
-75.000,18.000,0.674
-74.500,18.000,0.639
-74.000,18.000,0.564
-73.500,18.000,0.599
-73.000,18.000,0.556
-72.500,18.000,0.513
-72.000,18.000,nan
-71.500,18.000,nan
-71.000,18.000,0.705
-70.500,18.000,0.758
-70.000,18.000,0.794
-83.000,18.500,1.475
-82.500,18.500,1.510
-82.000,18.500,1.539
-81.500,18.500,1.551
-81.000,18.500,1.513
-80.500,18.500,1.473
-80.000,18.500,1.427
-79.500,18.500,1.387
-79.000,18.500,1.346
-78.500,18.500,nan
-78.000,18.500,nan
-77.500,18.500,nan
-77.000,18.500,nan
-76.500,18.500,nan
-76.000,18.500,0.700
-75.500,18.500,0.652
-75.000,18.500,0.574
-74.500,18.500,nan
-74.000,18.500,nan
-73.500,18.500,nan
-73.000,18.500,nan
-72.500,18.500,nan
-72.000,18.500,nan
-71.500,18.500,nan
-71.000,18.500,nan
-70.500,18.500,nan
-70.000,18.500,nan
-83.000,19.000,1.413
-82.500,19.000,1.441
-82.000,19.000,1.468
-81.500,19.000,1.412
-81.000,19.000,1.312
-80.500,19.000,1.331
-80.000,19.000,1.298
-79.500,19.000,1.248
-79.000,19.000,1.234
-78.500,19.000,nan
-78.000,19.000,nan
-77.500,19.000,1.009
-77.000,19.000,0.883
-76.500,19.000,0.794
-76.000,19.000,0.712
-75.500,19.000,0.614
-75.000,19.000,0.522
-74.500,19.000,nan
-74.000,19.000,nan
-73.500,19.000,nan
-73.000,19.000,nan
-72.500,19.000,nan
-72.000,19.000,nan
-71.500,19.000,nan
-71.000,19.000,nan
-70.500,19.000,nan
-70.000,19.000,nan
-83.000,19.500,1.332
-82.500,19.500,1.341
-82.000,19.500,1.366
-81.500,19.500,1.357
-81.000,19.500,1.277
-80.500,19.500,1.284
-80.000,19.500,1.210
-79.500,19.500,1.162
-79.000,19.500,1.203
-78.500,19.500,1.279
-78.000,19.500,1.246
-77.500,19.500,1.009
-77.000,19.500,0.792
-76.500,19.500,0.710
-76.000,19.500,0.642
-75.500,19.500,0.544
-75.000,19.500,0.472
-74.500,19.500,0.464
-74.000,19.500,0.584
-73.500,19.500,0.509
-73.000,19.500,nan
-72.500,19.500,nan
-72.000,19.500,nan
-71.500,19.500,nan
-71.000,19.500,nan
-70.500,19.500,nan
-70.000,19.500,nan
-83.000,20.000,1.261
-82.500,20.000,1.239
-82.000,20.000,1.256
-81.500,20.000,1.263
-81.000,20.000,1.282
-80.500,20.000,1.281
-80.000,20.000,1.229
-79.500,20.000,1.235
-79.000,20.000,1.253
-78.500,20.000,1.260
-78.000,20.000,1.168
-77.500,20.000,nan
-77.000,20.000,nan
-76.500,20.000,nan
-76.000,20.000,nan
-75.500,20.000,nan
-75.000,20.000,nan
-74.500,20.000,0.412
-74.000,20.000,0.712
-73.500,20.000,nan
-73.000,20.000,nan
-72.500,20.000,nan
-72.000,20.000,nan
-71.500,20.000,nan
-71.000,20.000,nan
-70.500,20.000,nan
-70.000,20.000,nan
-83.000,20.500,1.220
-82.500,20.500,1.140
-82.000,20.500,1.127
-81.500,20.500,1.141
-81.000,20.500,1.205
-80.500,20.500,1.210
-80.000,20.500,1.167
-79.500,20.500,1.228
-79.000,20.500,1.185
-78.500,20.500,0.978
-78.000,20.500,0.748
-77.500,20.500,nan
-77.000,20.500,nan
-76.500,20.500,nan
-76.000,20.500,nan
-75.500,20.500,nan
-75.000,20.500,nan
-74.500,20.500,0.711
-74.000,20.500,0.816
-73.500,20.500,nan
-73.000,20.500,nan
-72.500,20.500,0.933
-72.000,20.500,nan
-71.500,20.500,nan
-71.000,20.500,nan
-70.500,20.500,1.458
-70.000,20.500,1.482
-83.000,21.000,1.121
-82.500,21.000,1.016
-82.000,21.000,0.976
-81.500,21.000,0.997
-81.000,21.000,1.072
-80.500,21.000,1.088
-80.000,21.000,0.982
-79.500,21.000,1.007
-79.000,21.000,0.898
-78.500,21.000,nan
-78.000,21.000,nan
-77.500,21.000,nan
-77.000,21.000,nan
-76.500,21.000,nan
-76.000,21.000,nan
-75.500,21.000,nan
-75.000,21.000,nan
-74.500,21.000,0.769
-74.000,21.000,0.797
-73.500,21.000,0.734
-73.000,21.000,0.780
-72.500,21.000,0.909
-72.000,21.000,0.854
-71.500,21.000,0.921
-71.000,21.000,1.231
-70.500,21.000,1.463
-70.000,21.000,1.487
-83.000,21.500,nan
-82.500,21.500,0.655
-82.000,21.500,0.730
-81.500,21.500,0.797
-81.000,21.500,0.818
-80.500,21.500,0.860
-80.000,21.500,0.615
-79.500,21.500,0.516
-79.000,21.500,nan
-78.500,21.500,nan
-78.000,21.500,nan
-77.500,21.500,nan
-77.000,21.500,nan
-76.500,21.500,nan
-76.000,21.500,nan
-75.500,21.500,0.831
-75.000,21.500,0.867
-74.500,21.500,0.853
-74.000,21.500,0.844
-73.500,21.500,0.909
-73.000,21.500,0.919
-72.500,21.500,0.877
-72.000,21.500,0.772
-71.500,21.500,0.869
-71.000,21.500,1.283
-70.500,21.500,1.454
-70.000,21.500,1.475
-83.000,22.000,nan
-82.500,22.000,0.535
-82.000,22.000,0.589
-81.500,22.000,0.585
-81.000,22.000,0.409
-80.500,22.000,nan
-80.000,22.000,nan
-79.500,22.000,nan
-79.000,22.000,nan
-78.500,22.000,nan
-78.000,22.000,nan
-77.500,22.000,nan
-77.000,22.000,0.832
-76.500,22.000,0.859
-76.000,22.000,0.884
-75.500,22.000,0.893
-75.000,22.000,0.940
-74.500,22.000,0.939
-74.000,22.000,0.906
-73.500,22.000,0.997
-73.000,22.000,1.034
-72.500,22.000,1.158
-72.000,22.000,1.235
-71.500,22.000,1.368
-71.000,22.000,1.463
-70.500,22.000,1.481
-70.000,22.000,1.485
-83.000,22.500,nan
-82.500,22.500,0.511
-82.000,22.500,nan
-81.500,22.500,nan
-81.000,22.500,nan
-80.500,22.500,nan
-80.000,22.500,nan
-79.500,22.500,nan
-79.000,22.500,nan
-78.500,22.500,nan
-78.000,22.500,nan
-77.500,22.500,0.920
-77.000,22.500,0.936
-76.500,22.500,0.899
-76.000,22.500,0.912
-75.500,22.500,0.877
-75.000,22.500,0.976
-74.500,22.500,1.023
-74.000,22.500,0.944
-73.500,22.500,1.154
-73.000,22.500,1.243
-72.500,22.500,1.408
-72.000,22.500,1.500
-71.500,22.500,1.526
-71.000,22.500,1.539
-70.500,22.500,1.538
-70.000,22.500,1.530
-83.000,23.000,nan
-82.500,23.000,nan
-82.000,23.000,nan
-81.500,23.000,nan
-81.000,23.000,nan
-80.500,23.000,nan
-80.000,23.000,nan
-79.500,23.000,nan
-79.000,23.000,nan
-78.500,23.000,1.165
-78.000,23.000,1.121
-77.500,23.000,1.079
-77.000,23.000,1.052
-76.500,23.000,0.981
-76.000,23.000,0.944
-75.500,23.000,0.942
-75.000,23.000,1.019
-74.500,23.000,1.235
-74.000,23.000,1.348
-73.500,23.000,1.411
-73.000,23.000,1.616
-72.500,23.000,1.661
-72.000,23.000,1.664
-71.500,23.000,1.651
-71.000,23.000,1.633
-70.500,23.000,1.614
-70.000,23.000,1.596
-83.000,23.500,1.722
-82.500,23.500,nan
-82.000,23.500,nan
-81.500,23.500,nan
-81.000,23.500,1.663
-80.500,23.500,1.586
-80.000,23.500,1.586
-79.500,23.500,1.459
-79.000,23.500,1.339
-78.500,23.500,1.237
-78.000,23.500,1.073
-77.500,23.500,0.949
-77.000,23.500,0.967
-76.500,23.500,0.969
-76.000,23.500,0.951
-75.500,23.500,0.980
-75.000,23.500,1.125
-74.500,23.500,1.400
-74.000,23.500,1.622
-73.500,23.500,1.779
-73.000,23.500,1.857
-72.500,23.500,1.878
-72.000,23.500,1.859
-71.500,23.500,1.818
-71.000,23.500,1.769
-70.500,23.500,1.725
-70.000,23.500,1.696
-83.000,24.000,1.688
-82.500,24.000,1.651
-82.000,24.000,1.575
-81.500,24.000,1.509
-81.000,24.000,1.487
-80.500,24.000,1.493
-80.000,24.000,1.467
-79.500,24.000,1.362
-79.000,24.000,1.332
-78.500,24.000,1.208
-78.000,24.000,0.857
-77.500,24.000,0.546
-77.000,24.000,0.724
-76.500,24.000,0.776
-76.000,24.000,0.906
-75.500,24.000,0.980
-75.000,24.000,1.280
-74.500,24.000,1.563
-74.000,24.000,1.790
-73.500,24.000,1.973
-73.000,24.000,2.071
-72.500,24.000,2.107
-72.000,24.000,2.088
-71.500,24.000,2.029
-71.000,24.000,1.950
-70.500,24.000,1.883
-70.000,24.000,1.831
-83.000,24.500,1.640
-82.500,24.500,1.534
-82.000,24.500,1.245
-81.500,24.500,0.926
-81.000,24.500,0.883
-80.500,24.500,1.023
-80.000,24.500,1.232
-79.500,24.500,1.364
-79.000,24.500,1.353
