leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
66,132.9,140.0881,35.0675,1.503,7.50,0.000,6.00,6.000,6.000,1696.6,1
67,135.3,140.1034,35.0867,1.518,7.20,0.000,6.00,6.000,6.000,1708.0,1
68,139.1,140.1203,35.1101,1.599,6.82,0.000,6.00,6.000,6.000,1764.5,1
69,141.1,140.1451,35.1204,1.635,6.76,0.000,6.00,6.000,6.000,1791.4,1
70,145.2,140.1778,35.1165,1.697,7.09,0.000,6.00,6.000,6.000,1838.2,1
71,148.6,140.2187,35.1137,1.774,7.52,0.000,6.00,6.000,6.000,1900.1,1
72,151.5,140.2454,35.1235,1.817,7.59,0.000,6.00,6.000,6.000,1939.3,1
73,153.8,140.2661,35.1333,1.859,7.64,0.000,6.00,6.000,6.000,1976.3,1
74,156.0,140.2866,35.1393,1.906,7.78,0.000,6.00,6.000,6.000,2018.5,1
75,157.6,140.2989,35.1400,1.948,7.96,0.000,6.00,6.000,6.000,2057.8,1
76,159.3,140.3123,35.1319,1.998,8.36,0.000,6.00,6.000,6.000,2105.6,1
77,161.0,140.3274,35.1364,2.035,8.48,0.000,6.00,6.000,6.000,2142.5,1
78,162.8,140.3320,35.1501,1.991,8.26,0.000,6.00,6.000,6.000,2084.1,1
79,165.8,140.3397,35.1691,2.003,7.95,0.000,6.00,6.000,6.000,2098.4,1
80,168.5,140.3633,35.1784,2.015,8.09,0.000,6.00,6.000,6.000,2113.8,1
81,171.2,140.3859,35.1865,2.056,8.25,0.000,6.00,6.000,6.000,2159.0,1
82,174.0,140.3965,35.2093,2.066,7.85,0.000,6.00,6.000,6.000,2173.0,1
83,178.2,140.4015,35.2408,2.033,7.15,0.000,6.00,6.000,6.000,2140.6,1
84,182.9,140.4086,35.2804,2.033,6.76,0.000,6.00,6.000,6.000,2142.8,1
85,186.1,140.4091,35.3151,2.027,6.43,0.000,6.00,6.000,6.000,2138.5,1
86,192.1,140.3955,35.3550,2.056,5.84,0.000,6.00,6.000,6.000,2172.0,1
87,204.7,140.4046,35.4358,1.973,5.02,0.000,6.00,6.000,6.000,2094.5,1
88,214.7,140.4533,35.5283,2.034,4.81,0.000,6.00,6.000,6.000,2141.2,1
89,228.7,140.5398,35.6090,2.282,6.03,0.000,6.00,6.000,6.000,2378.8,1
90,235.8,140.6286,35.6704,2.541,7.54,0.000,6.00,6.000,6.000,2669.8,1
91,241.0,140.6887,35.6937,2.691,8.78,0.000,6.00,6.000,6.000,2852.9,1
92,242.8,140.7185,35.6907,2.761,9.08,0.000,6.00,6.000,6.000,2936.9,1
93,247.6,140.7458,35.6898,2.823,9.35,0.000,6.00,6.000,6.000,3013.0,1
94,250.8,140.7870,35.7032,2.927,9.67,0.000,6.00,6.000,6.000,3145.0,1
95,253.2,140.8157,35.7117,2.912,9.96,0.000,6.00,6.000,6.000,3109.8,1
96,254.7,140.8343,35.7092,2.945,10.23,0.000,6.00,6.000,6.000,3153.3,1
97,255.9,140.8435,35.6998,2.977,10.39,0.000,6.00,6.000,6.000,3198.5,1
98,257.4,140.8538,35.6915,2.965,10.57,0.000,6.00,6.000,6.000,3172.2,1
99,258.6,140.8647,35.6923,2.981,10.71,0.000,6.00,6.000,6.000,3193.1,1
100,261.4,140.8741,35.7086,2.970,10.70,0.000,6.00,6.000,6.000,3169.8,1
101,262.5,140.8768,35.7249,2.947,10.50,0.000,6.00,6.000,6.000,3129.3,1
102,263.5,140.8696,35.7314,2.930,10.23,0.000,6.00,6.000,6.000,3102.1,1
103,264.0,140.8622,35.7345,2.918,10.00,0.000,6.00,6.000,6.000,3083.3,1
104,264.7,140.8560,35.7365,2.910,9.81,0.000,6.00,6.000,6.000,3068.9,1
105,265.8,140.8471,35.7400,2.945,9.53,0.000,6.00,6.000,6.000,3124.2,1
106,268.1,140.8362,35.7517,2.919,9.10,0.000,6.00,6.000,6.000,3080.9,1
107,274.6,140.8101,35.7849,2.851,8.05,0.000,6.00,6.000,6.000,2970.8,1
108,300.7,140.7177,35.9110,2.726,4.50,0.000,6.00,6.000,6.000,2764.8,1
109,359.1,140.6425,36.2765,2.571,2.34,0.000,6.00,6.000,6.000,2353.1,1
110,369.1,140.6664,36.5789,2.498,2.49,0.000,6.00,6.000,6.000,2208.0,1
111,386.3,140.7179,36.6932,2.473,2.45,0.000,6.00,6.000,6.000,2221.1,1
112,388.4,140.7468,36.7768,2.481,2.55,0.000,6.00,6.000,6.000,2246.8,1
113,395.3,140.7724,36.8113,2.458,2.57,0.000,6.00,6.000,6.000,2238.8,1
114,396.3,140.7952,36.8420,2.467,2.53,0.000,6.00,6.000,6.000,2251.6,1
115,397.6,140.7998,36.8518,2.468,2.51,0.000,6.00,6.000,6.000,2253.3,1
116,399.5,140.8021,36.8658,2.438,2.47,0.000,6.00,6.000,6.000,2226.6,1
117,400.8,140.8032,36.8803,2.437,2.43,0.000,6.00,6.000,6.000,2225.5,1
118,401.7,140.8083,36.8886,2.439,2.41,0.000,6.00,6.000,6.000,2227.2,1
119,402.5,140.8163,36.8928,2.443,2.41,0.000,6.00,6.000,6.000,2231.2,1
120,404.6,140.8278,36.9014,2.448,2.40,0.000,6.00,6.000,6.000,2236.0,1
121,406.8,140.8471,36.9112,2.456,2.39,0.000,6.00,6.000,6.000,2244.8,1
122,410.3,140.8754,36.9231,2.441,2.36,0.000,6.00,6.000,6.000,2233.7,1
123,412.6,140.9045,36.9343,2.427,2.39,0.000,6.00,6.000,6.000,2232.6,1
124,413.4,140.9215,36.9377,2.433,2.46,0.000,6.00,6.000,6.000,2252.9,1
125,417.8,140.9430,36.9526,2.441,2.60,0.000,6.00,6.000,6.000,2274.4,1
126,421.9,140.9673,36.9840,2.424,2.81,0.000,6.00,6.000,6.000,2271.1,1
127,431.7,140.9812,37.0458,2.377,2.96,0.000,6.00,6.000,6.000,2251.3,1
128,435.7,140.9966,37.1063,2.318,2.96,0.000,6.00,6.000,6.000,2211.3,1
129,437.0,141.0065,37.1284,2.267,2.85,0.000,6.00,6.000,6.000,2167.7,1
130,447.3,141.0078,37.1803,2.209,2.55,0.000,6.00,6.000,6.000,2121.0,1
131,448.9,141.0112,37.2334,2.152,2.26,0.000,6.00,6.000,6.000,2076.7,1
132,452.3,141.0145,37.2557,2.130,2.16,0.000,6.00,6.000,6.000,2059.9,1
133,460.7,141.0253,37.3081,2.082,2.10,0.000,6.00,6.000,6.000,2020.3,1
134,464.3,141.0390,37.3609,2.039,2.10,0.000,6.00,6.000,6.000,1980.1,1
135,494.4,141.0350,37.5126,1.885,2.26,0.000,6.00,6.000,6.000,1849.4,1
136,495.6,141.0267,37.6530,1.840,3.46,0.000,6.00,6.000,6.000,1830.9,1
137,497.6,141.0183,37.6651,1.828,3.59,0.000,6.00,6.000,6.000,1824.4,1
138,498.4,141.0096,37.6756,1.816,3.65,0.000,6.00,6.000,6.000,1817.3,1
139,499.1,141.0086,37.6821,1.813,3.69,0.000,6.00,6.000,6.000,1815.7,1
140,500.8,141.0142,37.6919,1.817,3.79,0.000,6.00,6.000,6.000,1817.9,1
141,501.7,141.0205,37.7027,1.822,3.88,0.000,6.00,6.000,6.000,1820.5,1
142,580.8,141.2989,37.9875,2.030,5.45,0.000,6.00,6.000,6.000,1967.8,1
143,581.9,141.5796,38.2724,2.228,5.86,0.000,6.00,6.000,6.000,2153.2,1
144,582.5,141.5827,38.2791,2.227,5.87,0.000,6.00,6.000,6.000,2152.9,1
145,583.1,141.5816,38.2842,2.225,5.88,0.000,6.00,6.000,6.000,2150.6,1
146,584.3,141.5833,38.2918,2.223,5.93,0.000,6.00,6.000,6.000,2148.8,1
147,642.3,141.5862,38.5580,2.296,8.56,0.000,6.00,6.000,6.000,2184.5,1
148,643.0,141.5882,38.8227,2.231,9.48,0.000,6.00,6.000,6.000,2093.7,1
149,646.2,141.6069,38.8296,2.212,9.58,0.000,6.00,6.000,6.000,2077.0,1
150,646.9,141.6272,38.8357,2.229,9.69,0.000,6.00,6.000,6.000,2090.2,1
151,647.7,141.6323,38.8411,2.232,9.72,0.000,6.00,6.000,6.000,2093.0,1
152,651.2,141.6542,38.8479,2.218,9.84,0.000,6.00,6.000,6.000,2081.1,1
153,653.5,141.6712,38.8623,2.237,9.90,0.000,6.00,6.000,6.000,2097.6,1
154,659.5,141.6570,38.8978,2.235,9.75,0.000,6.00,6.000,6.000,2098.2,1
155,664.2,141.6429,38.9441,2.272,9.56,0.000,6.00,6.000,6.000,2135.8,1
156,666.4,141.6395,38.9753,2.280,9.46,0.000,6.00,6.000,6.000,2149.6,1
157,668.1,141.6447,38.9911,2.290,9.46,0.000,6.00,6.000,6.000,2163.2,1
158,671.8,141.6723,38.9961,2.287,9.63,0.000,6.00,6.000,6.000,2168.2,1
159,673.0,141.6899,38.9906,2.310,9.75,0.000,6.00,6.000,6.000,2190.0,1
160,674.3,141.6797,38.9835,2.310,9.66,0.000,6.00,6.000,6.000,2190.9,1
161,675.5,141.6766,38.9759,2.314,9.64,0.000,6.00,6.000,6.000,2195.7,1
162,677.1,141.6855,38.9652,2.327,9.71,0.000,6.00,6.000,6.000,2207.4,1
163,678.6,141.6975,38.9551,2.343,9.80,0.000,6.00,6.000,6.000,2221.3,1
164,679.8,141.7106,38.9487,2.324,9.91,0.000,6.00,6.000,6.000,2208.9,1
165,681.1,141.7237,38.9490,2.338,10.01,0.000,6.00,6.000,6.000,2222.2,1
166,682.1,141.7321,38.9558,2.347,10.07,0.000,6.00,6.000,6.000,2233.3,1
167,683.3,141.7311,38.9652,2.350,10.05,0.000,6.00,6.000,6.000,2239.8,1
168,684.7,141.7208,38.9721,2.348,9.95,0.000,6.00,6.000,6.000,2242.0,1
169,686.6,141.7202,38.9809,2.353,9.93,0.000,6.00,6.000,6.000,2252.1,1
170,687.4,141.7319,38.9885,2.366,10.02,0.000,6.00,6.000,6.000,2267.6,1
171,688.4,141.7424,38.9886,2.377,10.11,0.000,6.00,6.000,6.000,2279.2,1
172,692.7,141.7469,39.0070,2.387,10.10,0.000,6.00,6.000,6.000,2296.5,1
173,694.5,141.7560,39.0255,2.374,10.03,0.000,6.00,6.000,6.000,2288.9,1
174,698.0,141.7864,39.0272,2.421,10.22,0.000,6.00,6.000,6.000,2330.9,1
175,701.7,141.8270,39.0257,2.449,10.51,0.000,6.00,6.000,6.000,2359.6,1
176,702.5,141.8516,39.0240,2.451,10.71,0.000,6.00,6.000,6.000,2363.7,1
177,703.7,141.8519,39.0306,2.457,10.66,0.000,6.00,6.000,6.000,2368.9,1
178,705.3,141.8411,39.0398,2.497,10.50,0.000,6.00,6.000,6.000,2404.9,1
179,706.4,141.8286,39.0468,2.495,10.34,0.000,6.00,6.000,6.000,2402.2,1
180,707.2,141.8233,39.0530,2.496,10.25,0.000,6.00,6.000,6.000,2402.2,1
181,708.3,141.8297,39.0565,2.509,10.27,0.000,6.00,6.000,6.000,2414.2,1
182,709.4,141.8423,39.0566,2.530,10.37,0.000,6.00,6.000,6.000,2435.5,1
183,710.5,141.8545,39.0581,2.506,10.46,0.000,6.00,6.000,6.000,2413.0,1
184,711.5,141.8662,39.0611,2.524,10.54,0.000,6.00,6.000,6.000,2431.0,1
185,713.1,141.8658,39.0681,2.532,10.48,0.000,6.00,6.000,6.000,2437.5,1
186,717.3,141.8384,39.0821,2.529,9.91,0.000,6.00,6.000,6.000,2425.9,1
187,719.4,141.8263,39.0976,2.483,9.42,0.000,6.00,6.000,6.000,2372.3,1
188,724.5,141.8630,39.0969,2.442,9.41,0.000,6.00,6.000,6.000,2328.9,1
189,726.6,141.9019,39.0936,2.404,9.41,0.000,6.00,6.000,6.000,2290.7,1
190,728.0,141.9111,39.1037,2.393,9.24,0.000,6.00,6.000,6.000,2279.2,1
191,733.3,141.8850,39.1241,2.379,8.62,0.000,6.00,6.000,6.000,2263.9,1
192,735.4,141.8524,39.1454,2.305,7.95,0.000,6.00,6.000,6.000,2192.0,1
193,737.6,141.8566,39.1531,2.294,7.94,0.000,6.00,6.000,6.000,2180.5,1
194,739.9,141.8823,39.1567,2.308,8.10,0.000,6.00,6.000,6.000,2193.4,1
195,742.1,141.9055,39.1647,2.264,8.20,0.000,6.00,6.000,6.000,2152.9,1
196,744.2,141.9210,39.1785,2.262,8.21,0.000,6.00,6.000,6.000,2151.4,1
197,1360.3,144.1415,41.4045,4.340,15.13,0.000,6.00,6.000,6.000,5335.1,1
198,4068.5,163.1784,43.3761,3.534,12.45,0.000,6.00,6.000,6.000,3813.6,1
199,4123.9,180.0000,42.8809,2.671,7.73,0.000,6.00,6.000,6.000,3210.3,1
200,4179.3,180.0000,42.3823,2.619,7.33,0.000,6.00,6.000,6.000,3110.8,1
201,4234.7,180.0000,41.8837,2.573,6.08,0.000,6.00,6.000,6.000,3066.1,1
202,4234.7,0.0000,41.6343,0.000,0.00,0.000,6.00,6.000,6.103,1361.2,1
203,4290.1,-180.0000,41.8837,2.576,6.37,0.000,6.00,6.000,6.000,3038.5,1
204,4345.5,-180.0000,42.3823,2.761,7.51,0.000,6.00,6.000,6.000,3343.7,1
205,4400.9,-180.0000,42.8809,2.941,9.31,0.000,6.00,6.000,6.000,3552.8,1
206,4456.3,-180.0000,43.3795,3.222,10.28,0.000,6.00,6.000,6.000,4049.2,1
207,4511.7,-180.0000,43.8781,3.460,10.53,0.000,6.00,6.000,6.000,4668.4,1
208,4567.1,-180.0000,44.3767,3.584,10.59,0.000,6.00,6.000,6.000,5063.9,1
209,5546.5,-176.4779,48.3580,3.145,9.40,0.000,6.00,6.000,6.000,3895.7,1
210,8374.2,-152.0373,52.0825,2.287,3.53,0.000,6.00,6.000,6.000,2637.1,1
211,8376.1,-131.1182,52.0664,1.526,4.34,0.000,6.00,6.000,6.000,1738.5,1
212,8377.9,-131.1153,52.0500,1.544,4.39,0.000,6.00,6.000,6.000,1750.9,1
213,8379.1,-131.1064,52.0388,1.555,4.43,0.000,6.00,6.000,6.000,1758.4,1
214,8380.0,-131.0937,52.0332,1.559,4.46,0.000,6.00,6.000,6.000,1760.9,1
215,8381.1,-131.0888,52.0261,1.565,4.50,0.000,6.00,6.000,6.000,1765.6,1
216,8382.6,-131.0949,52.0155,1.578,4.50,0.000,6.00,6.000,6.000,1774.5,1
217,8383.8,-131.1063,52.0059,1.592,4.50,0.000,6.00,6.000,6.000,1783.3,1
218,8388.3,-131.0935,51.9856,1.603,4.49,0.000,6.00,6.000,6.000,1790.4,1
219,8390.7,-131.0625,51.9615,1.610,4.48,0.000,6.00,6.000,6.000,1794.1,1
220,8392.7,-131.0373,51.9501,1.611,4.49,0.000,6.00,6.000,6.000,1794.4,1
221,9326.9,-127.5242,48.4452,2.679,10.54,0.000,6.00,6.000,6.000,2089.4,1
222,9327.8,-124.0251,44.9397,1.630,2.81,0.000,6.00,6.000,6.000,1730.8,1
223,9328.9,-124.0219,44.9316,1.626,2.82,0.000,6.00,6.000,6.000,1729.1,1
224,9330.1,-124.0179,44.9220,1.622,2.84,0.000,6.00,6.000,6.000,1727.2,1
225,9331.0,-124.0211,44.9132,1.620,2.86,0.000,6.00,6.000,6.000,1726.3,1
226,9331.8,-124.0282,44.9073,1.620,2.89,0.000,6.00,6.000,6.000,1726.5,1
227,9332.7,-124.0323,44.9011,1.620,2.89,0.000,6.00,6.000,6.000,1726.4,1
228,9334.8,-124.0336,44.8879,1.625,2.88,0.000,6.00,6.000,6.000,1729.9,1
229,9337.2,-124.0405,44.8684,1.621,2.89,0.000,6.00,6.000,6.000,1728.8,1
230,9339.4,-124.0501,44.8485,1.627,2.89,0.000,6.00,6.000,6.000,1732.5,1
231,9341.4,-124.0594,44.8310,1.624,2.90,0.000,6.00,6.000,6.000,1732.0,1
232,9343.4,-124.0659,44.8144,1.622,2.91,0.000,6.00,6.000,6.000,1731.2,1
233,9346.5,-124.0700,44.7916,1.625,2.92,0.000,6.00,6.000,6.000,1733.7,1
234,9348.2,-124.0693,44.7707,1.619,2.92,0.000,6.00,6.000,6.000,1731.4,1
235,9350.2,-124.0623,44.7550,1.613,2.92,0.000,6.00,6.000,6.000,1728.6,1
236,9352.4,-124.0589,44.7362,1.615,2.93,0.000,6.00,6.000,6.000,1730.3,1
237,9356.5,-124.0627,44.7078,1.608,2.96,0.000,6.00,6.000,6.000,1727.8,1
238,9357.8,-124.0697,44.6842,1.612,2.96,0.000,6.00,6.000,6.000,1730.7,1
239,9358.4,-124.0752,44.6769,1.612,2.97,0.000,6.00,6.000,6.000,1730.7,1
240,9358.8,-124.0763,44.6739,1.611,2.97,0.000,6.00,6.000,6.000,1730.6,1
