leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
66,463.0,141.0267,37.6530,1.877,3.30,0.000,6.00,6.000,6.000,1832.2,1
67,467.5,141.0221,37.6783,1.866,3.47,0.000,6.00,6.000,6.000,1818.1,1
68,468.4,141.0205,37.7027,1.858,3.66,0.000,6.00,6.000,6.000,1805.8,1
69,547.7,141.2905,37.9940,2.046,5.09,0.000,6.00,6.000,6.000,1956.7,1
70,550.0,141.5528,38.2901,2.236,6.28,0.000,6.00,6.000,6.000,2140.6,1
71,551.4,141.5517,38.3041,2.245,6.29,0.000,6.00,6.000,6.000,2149.8,1
72,552.0,141.5594,38.3111,2.246,6.31,0.000,6.00,6.000,6.000,2151.6,1
73,552.6,141.5645,38.3117,2.248,6.32,0.000,6.00,6.000,6.000,2154.1,1
74,553.3,141.5707,38.3089,2.252,6.33,0.000,6.00,6.000,6.000,2158.0,1
75,581.1,141.5803,38.4327,2.332,6.51,0.000,6.00,6.000,6.000,2234.4,1
76,597.4,141.5703,38.6303,2.239,7.14,0.000,6.00,6.000,6.000,2136.0,1
77,598.0,141.5571,38.7011,2.197,7.65,0.000,6.00,6.000,6.000,2093.1,1
78,598.7,141.5631,38.7015,2.201,7.68,0.000,6.00,6.000,6.000,2096.5,1
79,600.5,141.5695,38.7111,2.200,7.75,0.000,6.00,6.000,6.000,2095.7,1
80,601.7,141.5698,38.7237,2.195,7.83,0.000,6.00,6.000,6.000,2090.0,1
81,643.1,141.7114,38.8774,2.140,9.59,0.000,6.00,6.000,6.000,2030.2,1
82,644.3,141.8519,39.0306,2.127,10.39,0.000,6.00,6.000,6.000,2015.1,1
83,653.3,141.8807,39.0664,2.150,10.49,0.000,6.00,6.000,6.000,2034.8,1
84,654.7,141.9111,39.1037,2.143,10.48,0.000,6.00,6.000,6.000,2034.4,1
85,660.3,141.9020,39.1346,2.138,10.32,0.000,6.00,6.000,6.000,2034.9,1
86,662.4,141.9055,39.1647,2.146,10.21,0.000,6.00,6.000,6.000,2046.1,1
87,664.5,141.9210,39.1785,2.161,10.24,0.000,6.00,6.000,6.000,2061.5,1
88,1280.7,144.1415,41.4045,4.875,16.25,0.000,6.00,6.000,6.000,7124.6,1
89,3995.2,163.1784,43.2514,3.558,10.88,0.000,6.00,6.000,6.000,4844.9,1
90,4022.9,180.0000,42.7562,2.724,5.63,0.000,6.00,6.000,6.000,3425.7,1
91,4078.3,180.0000,42.3823,2.675,5.79,0.000,6.00,6.000,6.000,3315.6,1
92,4106.0,180.0000,42.0083,2.630,5.60,0.000,6.00,6.000,6.000,3222.7,1
93,4133.7,180.0000,41.7590,2.605,5.53,0.000,6.00,6.000,6.000,3163.8,1
94,4133.7,0.0000,41.6343,0.000,0.00,0.000,6.00,6.000,6.103,1361.2,1
95,4189.0,-180.0000,41.8837,2.585,6.17,0.000,6.00,6.000,6.000,3109.1,1
96,4244.4,-180.0000,42.3823,2.608,7.14,0.000,6.00,6.000,6.000,3032.2,1
97,4299.8,-180.0000,42.8809,2.678,8.20,0.000,6.00,6.000,6.000,2999.5,1
98,4355.2,-180.0000,43.3795,2.923,8.92,0.000,6.00,6.000,6.000,3453.1,1
