leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
205,1074.6,140.9954,42.3031,1.357,8.49,0.000,6.00,6.000,6.000,1594.5,1
206,1076.4,141.0089,42.3105,1.311,8.44,0.000,6.00,6.000,6.000,1574.3,1
207,1086.8,141.0542,42.3539,1.226,8.05,0.000,6.00,6.000,6.000,1536.8,1
208,1094.7,141.1301,42.4125,1.138,7.38,0.000,6.00,6.000,6.000,1501.5,1
209,1095.7,141.1742,42.4354,1.088,7.05,0.000,6.00,6.000,6.000,1486.6,1
210,1096.7,141.1854,42.4389,1.089,6.98,0.000,6.00,6.000,6.000,1485.9,1
211,1097.7,141.1972,42.4408,1.091,6.92,0.000,6.00,6.000,6.000,1485.9,1
212,1098.7,141.2092,42.4429,1.058,6.86,0.000,6.00,6.000,6.000,1478.9,1
213,1101.0,141.2249,42.4516,1.053,6.72,0.000,6.00,6.000,6.000,1476.5,1
214,1103.5,141.2485,42.4635,1.046,6.52,0.000,6.00,6.000,6.000,1473.3,1
215,1120.8,141.3451,42.5163,1.221,6.01,0.000,6.00,6.000,6.000,1495.1,1
216,1131.6,141.4887,42.5828,0.987,6.06,0.000,6.00,6.000,6.000,1467.1,1
217,1138.9,141.5930,42.6085,1.005,6.69,0.000,6.00,6.000,6.000,1478.7,1
218,1146.2,141.6813,42.6165,1.035,7.28,0.000,6.00,6.000,6.000,1489.7,1
219,1153.9,141.7716,42.6084,1.089,7.79,0.000,6.00,6.000,6.000,1502.4,1
220,1160.7,141.8527,42.5847,1.093,8.01,0.000,6.00,6.000,6.000,1505.1,1
221,1162.5,141.8988,42.5676,1.137,8.18,0.000,6.00,6.000,6.000,1514.3,1
222,1164.0,141.9177,42.5620,1.153,8.26,0.000,6.00,6.000,6.000,1518.3,1
223,1171.0,141.9535,42.5344,1.140,8.46,0.000,6.00,6.000,6.000,1519.9,1
224,1179.1,142.0218,42.4905,1.133,8.66,0.000,6.00,6.000,6.000,1522.0,1
225,1187.8,142.1152,42.4653,1.150,8.49,0.000,6.00,6.000,6.000,1520.7,1
226,1194.8,142.1950,42.4358,1.193,8.39,0.000,6.00,6.000,6.000,1530.4,1
227,1201.7,142.2516,42.3891,1.216,8.42,0.000,6.00,6.000,6.000,1535.1,1
228,1219.9,142.3705,42.3189,1.800,7.91,0.000,6.00,6.000,6.000,1727.5,1
229,1227.4,142.5032,42.2609,1.750,7.43,0.000,6.00,6.000,6.000,1740.4,1
230,1247.6,142.6520,42.2045,1.756,7.30,0.000,6.00,6.000,6.000,1777.0,1
231,1265.3,142.8587,42.1319,2.012,7.70,0.000,6.00,6.000,6.000,2018.0,1
232,1280.8,143.0375,42.0667,1.700,8.44,0.000,6.00,6.000,6.000,1753.8,1
233,1283.7,143.1279,42.0192,1.742,9.03,0.000,6.00,6.000,6.000,1764.8,1
234,1286.6,143.1519,42.0004,1.756,9.32,0.000,6.00,6.000,6.000,1768.2,1
235,1288.8,143.1683,41.9812,1.789,9.48,0.000,6.00,6.000,6.000,1783.4,1
236,1290.2,143.1779,41.9668,1.814,9.60,0.000,6.00,6.000,6.000,1795.2,1
237,1292.6,143.1928,41.9537,1.837,9.71,0.000,6.00,6.000,6.000,1806.6,1
238,1295.1,143.2146,41.9391,1.855,9.84,0.000,6.00,6.000,6.000,1815.0,1
239,1296.4,143.2338,41.9302,1.871,9.91,0.000,6.00,6.000,6.000,1823.8,1
240,1298.2,143.2472,41.9350,1.864,9.85,0.000,6.00,6.000,6.000,1819.8,1
241,1303.3,143.2592,41.9643,1.806,9.56,0.000,6.00,6.000,6.000,1786.9,1
242,1306.3,143.2789,41.9960,1.753,9.24,0.000,6.00,6.000,6.000,1758.5,1
243,1308.8,143.2979,42.0155,1.730,8.94,0.000,6.00,6.000,6.000,1747.0,1
244,1318.1,143.3173,42.0664,1.659,8.13,0.000,6.00,6.000,6.000,1712.4,1
245,1320.7,143.3335,42.1183,1.596,7.32,0.000,6.00,6.000,6.000,1685.3,1
246,1322.9,143.3369,42.1400,1.568,6.96,0.000,6.00,6.000,6.000,1674.1,1
247,1325.5,143.3372,42.1616,1.540,6.61,0.000,6.00,6.000,6.000,1662.9,1
248,1331.9,143.3307,42.2014,1.484,5.94,0.000,6.00,6.000,6.000,1641.7,1
249,1337.2,143.3283,42.2535,1.413,5.15,0.000,6.00,6.000,6.000,1616.6,1
250,1342.0,143.3403,42.2982,1.358,5.03,0.000,6.00,6.000,6.000,1599.6,1
251,1359.2,143.3985,42.3871,1.239,4.84,0.000,6.00,6.000,6.000,1564.4,1
252,1378.7,143.5116,42.5292,1.079,4.90,0.000,6.00,6.000,6.000,1520.6,1
253,1387.0,143.6070,42.6322,1.127,5.13,0.000,6.00,6.000,6.000,1529.0,1
254,1403.3,143.7146,42.7092,1.213,5.41,0.000,6.00,6.000,6.000,1545.9,1
255,1415.8,143.8383,42.8007,1.294,5.45,0.000,6.00,6.000,6.000,1559.0,1
256,1431.5,143.9642,42.8854,1.349,5.12,0.000,6.00,6.000,6.000,1569.8,1
257,1444.2,144.1126,42.9515,1.412,4.45,0.000,6.00,6.000,6.000,1590.9,1
258,1459.4,144.2758,42.9773,1.418,3.95,0.000,6.00,6.000,6.000,1594.0,1
259,1460.4,144.3708,42.9739,1.408,3.83,0.000,6.00,6.000,6.000,1591.6,1
260,1461.5,144.3776,42.9655,1.408,3.87,0.000,6.00,6.000,6.000,1591.7,1
261,1462.4,144.3864,42.9590,1.408,3.91,0.000,6.00,6.000,6.000,1591.9,1
262,1468.9,144.4277,42.9468,1.385,3.94,0.000,6.00,6.000,6.000,1583.4,1
263,1471.4,144.4804,42.9352,1.384,3.97,0.000,6.00,6.000,6.000,1585.3,1
