leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
66,463.0,141.0267,37.6530,1.839,3.50,0.000,5.50,5.500,5.500,1461.5,1
67,467.5,141.0221,37.6783,1.828,3.70,0.000,5.50,5.500,5.500,1455.6,1
68,468.4,141.0205,37.7027,1.820,3.86,0.000,5.50,5.500,5.500,1451.6,1
69,547.7,141.2905,37.9940,2.018,5.48,0.000,5.50,5.500,5.500,1575.8,1
70,550.0,141.5528,38.2901,2.200,6.36,0.000,5.50,5.500,5.500,1724.5,1
71,551.4,141.5517,38.3041,2.205,6.54,0.000,5.50,5.500,5.500,1729.2,1
72,552.0,141.5594,38.3111,2.207,6.62,0.000,5.50,5.500,5.500,1730.6,1
73,552.6,141.5645,38.3117,2.209,6.66,0.000,5.50,5.500,5.500,1732.7,1
74,553.3,141.5707,38.3089,2.213,6.69,0.000,5.50,5.500,5.500,1736.0,1
75,581.1,141.5803,38.4327,2.336,8.13,0.000,5.50,5.500,5.500,1825.2,1
76,597.4,141.5703,38.6303,2.278,9.52,0.000,5.50,5.500,5.500,1742.3,1
77,598.0,141.5571,38.7011,2.259,9.40,0.000,5.50,5.500,5.500,1718.4,1
78,598.7,141.5631,38.7015,2.264,9.43,0.000,5.50,5.500,5.500,1721.8,1
79,600.5,141.5695,38.7111,2.267,9.45,0.000,5.50,5.500,5.500,1723.4,1
80,601.7,141.5698,38.7237,2.266,9.45,0.000,5.50,5.500,5.500,1721.7,1
81,643.1,141.7114,38.8774,2.305,10.04,0.000,5.50,5.500,5.500,1767.6,1
82,644.3,141.8519,39.0306,2.374,10.71,0.000,5.50,5.500,5.500,1877.0,1
83,653.3,141.8807,39.0664,2.428,10.70,0.000,5.50,5.500,5.500,1919.0,1
84,654.7,141.9111,39.1037,2.442,10.70,0.000,5.50,5.500,5.500,1930.2,1
85,660.3,141.9020,39.1346,2.450,10.39,0.000,5.50,5.500,5.500,1933.5,1
86,662.4,141.9055,39.1647,2.460,10.12,0.000,5.50,5.500,5.500,1937.9,1
87,664.5,141.9210,39.1785,2.447,9.93,0.000,5.50,5.500,5.500,1922.2,1
88,669.5,141.9378,39.2075,2.414,9.48,0.000,5.50,5.500,5.500,1888.7,1
89,679.0,141.9565,39.2703,2.292,8.49,0.000,6.00,6.000,6.000,2185.2,1
90,681.3,141.9737,39.3199,2.236,7.75,0.000,6.00,6.000,6.000,2135.2,1
91,684.0,141.9823,39.3391,2.218,7.54,0.000,6.00,6.000,6.000,2119.5,1
92,691.6,141.9958,39.3833,2.183,7.39,0.000,6.00,6.000,6.000,2085.8,1
93,693.4,142.0211,39.4165,2.120,7.33,0.000,5.50,5.500,5.500,1641.6,1
94,694.4,142.0348,39.4207,2.124,7.37,0.000,5.50,5.500,5.500,1644.2,1
95,696.2,142.0382,39.4321,2.115,7.35,0.000,5.50,5.500,5.500,1636.6,1
