route,basin,lengthClass,date,season,year,distKm,speedMps,geoFuelKg,gcFuelKg,calmPathRealFuelKg,realFuelKg,benefitKg,benefitPct,meshFuelKg,meshGainPct,currentEffectPct,wps,fetchS,routeS,status,speedOptFuelKg,speedOptDurationH,speedOptMeanMps,meshSpeedOptFuelKg,meshSpeedOptDurationH,meshSpeedOptMeanMps,calmSpeedOptFuelKg,awareSpeedOptFuelKg,etaSlack,speedSet,speedOptCostUSD,meshSpeedOptCostUSD,calmSpeedOptCostUSD,awareSpeedOptCostUSD
Antwerpen->Zeebrugge,NorthSea,coastal,2022-01-15,DJF,2022,84.6,6.0,NA,3769.9,NA,NA,NA,NA,NA,NA,NA,NA,0.1,44.1,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2022-04-15,MAM,2022,84.6,6.0,NA,3692.1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,43.2,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2022-07-15,JJA,2022,84.6,6.0,NA,3869.7,NA,NA,NA,NA,NA,NA,NA,NA,0.1,49.7,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2022-10-15,SON,2022,84.6,6.0,NA,4037.8,NA,NA,NA,NA,NA,NA,NA,NA,0.1,47.1,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2023-01-15,DJF,2023,84.6,6.0,NA,8105.8,NA,NA,NA,NA,NA,NA,NA,NA,0.1,42.9,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2023-04-15,MAM,2023,84.6,6.0,NA,3753.6,NA,NA,NA,NA,NA,NA,NA,NA,0.1,47.7,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2023-07-15,JJA,2023,84.6,6.0,NA,4536.5,NA,NA,NA,NA,NA,NA,NA,NA,0.1,49.2,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2023-10-15,SON,2023,84.6,6.0,NA,6462.1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,47.7,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2022-01-15,DJF,2022,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,35.5,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2022-04-15,MAM,2022,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,28.3,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2022-07-15,JJA,2022,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,30.8,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2022-10-15,SON,2022,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,34.5,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2023-01-15,DJF,2023,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,34.7,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2023-04-15,MAM,2023,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,32.9,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2023-07-15,JJA,2023,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,35.9,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2023-10-15,SON,2023,280.4,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,37.0,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
NewYork->Boston,NWAtlantic,coastal,2022-01-15,DJF,2022,306.9,6.0,NA,23828.1,61149.3,NA,NA,NA,61149.3,NA,NA,32,0.2,264.0,ok,NA,NA,NA,59073.0,35.292,5.717,58453.7,59073.0,0.050,5.0|5.5|6.0|6.5|7.0,NA,37511.37,37087.47,37511.37
NewYork->Boston,NWAtlantic,coastal,2022-04-15,MAM,2022,306.9,6.0,NA,14083.3,40660.5,NA,NA,NA,40660.5,NA,NA,32,0.1,270.1,ok,NA,NA,NA,37974.9,35.123,5.745,37755.7,37974.9,0.050,5.0|5.5|6.0|6.5|7.0,NA,24554.95,24457.39,24554.95
NewYork->Boston,NWAtlantic,coastal,2022-07-15,JJA,2022,306.9,6.0,NA,13591.0,36974.8,NA,NA,NA,36974.8,NA,NA,32,0.1,274.4,ok,NA,NA,NA,34418.6,35.123,5.745,34217.3,34418.6,0.050,5.0|5.5|6.0|6.5|7.0,NA,22284.68,22199.49,22284.68
NewYork->Boston,NWAtlantic,coastal,2022-10-15,SON,2022,306.9,6.0,NA,14131.0,43732.8,NA,NA,NA,43732.8,NA,NA,32,0.1,249.8,ok,NA,NA,NA,40496.5,35.149,5.740,40522.1,40496.5,0.050,5.0|5.5|6.0|6.5|7.0,NA,25864.37,25896.78,25864.37
NewYork->Boston,NWAtlantic,coastal,2023-01-15,DJF,2023,306.9,6.0,NA,20589.7,68971.2,NA,NA,NA,68971.2,NA,NA,32,0.1,282.1,ok,NA,NA,NA,66375.2,35.142,5.741,67283.3,66375.2,0.050,5.0|5.5|6.0|6.5|7.0,NA,43944.87,44513.44,43944.87
NewYork->Boston,NWAtlantic,coastal,2023-04-15,MAM,2023,306.9,6.0,NA,13845.9,39516.4,NA,NA,NA,39516.4,NA,NA,32,0.1,258.2,ok,NA,NA,NA,36374.6,35.255,5.723,36436.6,36374.6,0.050,5.0|5.5|6.0|6.5|7.0,NA,23298.64,23347.45,23298.64
NewYork->Boston,NWAtlantic,coastal,2023-07-15,JJA,2023,306.9,6.0,NA,14176.5,40461.4,NA,NA,NA,40461.4,NA,NA,32,0.1,254.2,ok,NA,NA,NA,37447.3,35.255,5.723,37490.8,37447.3,0.050,5.0|5.5|6.0|6.5|7.0,NA,24208.63,24246.98,24208.63
NewYork->Boston,NWAtlantic,coastal,2023-10-15,SON,2023,306.9,6.0,NA,17255.3,52092.4,NA,NA,NA,52092.4,NA,NA,32,0.1,256.7,ok,NA,NA,NA,49831.0,35.111,5.747,49406.7,49831.0,0.050,5.0|5.5|6.0|6.5|7.0,NA,31945.29,31659.94,31945.29
Brisbane->Newcastle,Tasman,regional,2022-01-15,DJF,2022,617.1,6.0,42882.9,26852.1,38767.1,38650.3,116.9,0.30,NA,NA,NA,127,0.3,39.9,ok,36321.4,34.201,5.715,NA,NA,NA,36410.9,36321.4,0.050,5.0|5.5|6.0|6.5|7.0,18705.51,NA,18751.60,18705.51
Brisbane->Newcastle,Tasman,regional,2022-04-15,MAM,2022,617.1,6.0,50432.1,26093.4,46240.8,45809.2,431.6,0.93,NA,NA,NA,124,0.2,43.1,ok,43392.7,34.176,5.724,NA,NA,NA,43659.1,43392.7,0.050,5.0|5.5|6.0|6.5|7.0,22347.22,NA,22484.46,22347.22
